                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.61216,                0.36425,                  1.339,                0.00425,                0.84575,                0.82031,                0.86429,                0.72772,                0.64343,                0.39252,                  1.468,                0.00195,               0.001387,               0.001387,               0.001387
                     89,                0.60817,                0.36158,                 1.3392,                 0.0045,                0.83912,                0.82674,                0.86424,                0.72747,                0.64341,                0.39265,                 1.4683,                0.00193,               0.001288,               0.001288,               0.001288
                     90,                0.60781,                0.36114,                 1.3356,                0.00464,                0.84098,                0.82311,                0.86422,                0.72739,                0.64354,                 0.3929,                 1.4689,                0.00192,               0.001189,               0.001189,               0.001189
                     91,                0.60773,                0.36009,                 1.3373,                0.00403,                0.83086,                0.83182,                0.86391,                0.72757,                0.64349,                0.39308,                 1.4691,                 0.0019,                0.00109,                0.00109,                0.00109
                     92,                0.60448,                 0.3576,                 1.3285,                 0.0042,                 0.8292,                0.83355,                0.86384,                 0.7274,                0.64353,                0.39326,                 1.4688,                 0.0019,               0.000991,               0.000991,               0.000991
                     93,                0.60363,                0.35548,                 1.3361,                0.00387,                0.82272,                0.83991,                0.86378,                 0.7277,                0.64348,                0.39349,                 1.4692,                0.00188,               0.000892,               0.000892,               0.000892
                     94,                0.60243,                0.35376,                 1.3347,                0.00392,                0.82297,                0.83944,                0.86357,                0.72737,                0.64345,                0.39358,                 1.4696,                0.00188,               0.000793,               0.000793,               0.000793
                     95,                0.60199,                 0.3535,                 1.3314,                0.00374,                0.82026,                0.84314,                0.86351,                0.72767,                0.64351,                0.39383,                 1.4699,                0.00187,               0.000694,               0.000694,               0.000694
                     96,                0.59794,                0.35141,                 1.3309,                0.00402,                0.82088,                0.84393,                0.86335,                0.72725,                0.64351,                0.39399,                   1.47,                0.00186,               0.000595,               0.000595,               0.000595
                     97,                0.59639,                0.34894,                 1.3246,                  0.004,                0.85073,                0.81597,                0.86321,                0.72757,                0.64353,                0.39403,                 1.4703,                0.00187,               0.000496,               0.000496,               0.000496
                     98,                0.59498,                0.34806,                 1.3189,                0.00385,                0.85306,                0.81442,                0.86274,                 0.7272,                0.64364,                0.39436,                 1.4707,                0.00187,               0.000397,               0.000397,               0.000397
                     99,                0.59485,                0.34789,                 1.3161,                0.00372,                0.85058,                0.81605,                0.86276,                 0.7273,                0.64379,                0.39442,                 1.4706,                0.00187,               0.000298,               0.000298,               0.000298
                    100,                0.59396,                0.34747,                 1.3193,                0.00383,                0.85327,                0.81409,                0.86267,                0.72739,                0.64385,                0.39446,                 1.4707,                0.00185,               0.000199,               0.000199,               0.000199
