                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/illum_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/illum_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.67764,                0.44032,                 1.3899,                0.00584,                0.83133,                0.82026,                0.86757,                0.72821,                0.64593,                0.39241,                 1.4685,                0.00235,               0.005545,               0.005545,               0.005545
                     47,                0.67751,                0.43904,                 1.3844,                0.00605,                 0.8285,                 0.8235,                0.86819,                0.72946,                0.64547,                0.39257,                 1.4665,                0.00223,               0.005446,               0.005446,               0.005446
                     48,                0.67683,                0.43913,                 1.3822,                0.00589,                0.82407,                0.83033,                0.86865,                0.72987,                0.64522,                0.39246,                 1.4649,                0.00222,               0.005347,               0.005347,               0.005347
                     49,                0.67443,                0.43626,                 1.3847,                0.00573,                0.82437,                0.82653,                0.86817,                0.72919,                0.64503,                0.39229,                 1.4655,                0.00228,               0.005248,               0.005248,               0.005248
                     50,                0.66938,                0.43162,                 1.3817,                0.00603,                0.82956,                0.82603,                0.86899,                 0.7303,                0.64477,                0.39139,                 1.4659,                0.00229,               0.005149,               0.005149,               0.005149
                     51,                0.67133,                0.43185,                 1.3872,                0.00603,                0.82781,                0.82965,                0.87075,                0.73239,                0.64463,                 0.3909,                 1.4663,                 0.0023,                0.00505,                0.00505,                0.00505
                     52,                0.67078,                0.43027,                 1.3796,                0.00596,                0.83072,                0.82756,                0.87127,                0.73322,                0.64427,                0.39025,                  1.466,                0.00227,               0.004951,               0.004951,               0.004951
                     53,                0.66702,                0.42885,                 1.3814,                0.00516,                 0.8296,                0.82941,                0.87167,                0.73315,                0.64377,                0.38963,                  1.466,                0.00223,               0.004852,               0.004852,               0.004852
                     54,                0.66881,                 0.4278,                 1.3851,                0.00598,                 0.8288,                0.83216,                0.87263,                0.73392,                0.64334,                0.38862,                 1.4685,                0.00221,               0.004753,               0.004753,               0.004753
                     55,                0.66462,                0.42502,                 1.3795,                0.00621,                 0.8307,                0.82972,                0.87256,                0.73362,                0.64318,                0.38872,                 1.4685,                0.00221,               0.004654,               0.004654,               0.004654
                     56,                0.66245,                0.42165,                 1.3795,                 0.0053,                 0.8322,                0.83042,                0.87255,                 0.7341,                 0.6427,                0.38829,                  1.469,                 0.0022,               0.004555,               0.004555,               0.004555
                     57,                0.66312,                0.42169,                 1.3884,                0.00542,                0.82697,                0.83691,                0.87355,                0.73467,                0.64254,                0.38753,                 1.4701,                0.00219,               0.004456,               0.004456,               0.004456
                     58,                0.66189,                0.42122,                 1.3792,                0.00622,                0.82863,                0.83577,                 0.8747,                0.73589,                0.64237,                0.38683,                 1.4703,                0.00218,               0.004357,               0.004357,               0.004357
                     59,                0.65917,                0.41704,                 1.3794,                0.00564,                0.83181,                0.83111,                 0.8755,                0.73644,                0.64205,                0.38641,                 1.4699,                0.00216,               0.004258,               0.004258,               0.004258
                     60,                0.65866,                0.41598,                 1.3847,                0.00552,                0.83354,                0.83191,                0.87594,                0.73676,                0.64157,                0.38571,                 1.4725,                0.00214,               0.004159,               0.004159,               0.004159
                     61,                  0.656,                 0.4142,                 1.3723,                0.00517,                0.83149,                0.83257,                0.87614,                0.73729,                0.64138,                0.38547,                 1.4729,                0.00212,                0.00406,                0.00406,                0.00406
                     62,                0.65344,                0.41214,                 1.3801,                0.00593,                0.83183,                0.83291,                0.87583,                0.73721,                0.64115,                0.38526,                 1.4735,                 0.0021,               0.003961,               0.003961,               0.003961
                     63,                0.65438,                0.41025,                 1.3744,                0.00524,                 0.8382,                0.82748,                0.87557,                0.73667,                0.64106,                0.38507,                 1.4737,                0.00212,               0.003862,               0.003862,               0.003862
                     64,                0.65332,                0.40995,                 1.3784,                0.00503,                0.83436,                0.83179,                0.87551,                0.73662,                0.64086,                0.38481,                 1.4746,                 0.0021,               0.003763,               0.003763,               0.003763
                     65,                0.65001,                0.40482,                 1.3724,                 0.0058,                0.83193,                0.83316,                0.87521,                0.73658,                0.64084,                0.38478,                 1.4751,                0.00211,               0.003664,               0.003664,               0.003664
                     66,                0.64819,                0.40524,                  1.377,                0.00536,                0.82912,                0.83701,                0.87479,                0.73614,                0.64078,                0.38466,                 1.4753,                 0.0021,               0.003565,               0.003565,               0.003565
                     67,                0.64711,                0.40411,                 1.3737,                0.00529,                0.82962,                0.83525,                 0.8749,                0.73583,                0.64072,                0.38443,                 1.4757,                0.00209,               0.003466,               0.003466,               0.003466
                     68,                0.64851,                0.40423,                 1.3708,                0.00607,                0.83055,                0.83458,                0.87532,                0.73602,                0.64075,                 0.3845,                  1.475,                0.00208,               0.003367,               0.003367,               0.003367
                     69,                0.64456,                  0.401,                 1.3645,                0.00537,                0.82897,                0.83572,                0.87549,                0.73657,                0.64074,                0.38456,                 1.4745,                0.00209,               0.003268,               0.003268,               0.003268
                     70,                0.64276,                0.39896,                 1.3682,                0.00487,                0.84121,                0.82667,                0.87546,                0.73669,                0.64063,                 0.3844,                 1.4744,                0.00208,               0.003169,               0.003169,               0.003169
                     71,                0.64151,                0.39589,                 1.3731,                0.00486,                0.84159,                0.82605,                0.87526,                 0.7365,                0.64054,                0.38418,                 1.4749,                0.00206,                0.00307,                0.00307,                0.00307
                     72,                0.64079,                0.39652,                  1.369,                0.00486,                0.84463,                0.82357,                0.87534,                0.73662,                0.64051,                0.38404,                 1.4754,                0.00205,               0.002971,               0.002971,               0.002971
                     73,                0.63975,                0.39293,                 1.3649,                0.00544,                0.84439,                0.82396,                 0.8756,                 0.7368,                0.64047,                0.38401,                 1.4753,                0.00203,               0.002872,               0.002872,               0.002872
                     74,                0.63601,                0.39085,                 1.3618,                0.00537,                0.84134,                0.82766,                0.87558,                0.73666,                0.64035,                  0.384,                 1.4754,                0.00203,               0.002773,               0.002773,               0.002773
                     75,                0.63627,                0.38996,                 1.3711,                0.00518,                0.84257,                0.82741,                0.87543,                0.73661,                0.64021,                0.38404,                 1.4758,                0.00204,               0.002674,               0.002674,               0.002674
                     76,                0.63372,                0.38639,                 1.3637,                0.00549,                0.84219,                0.82793,                 0.8752,                0.73671,                0.64031,                0.38423,                 1.4761,                0.00204,               0.002575,               0.002575,               0.002575
                     77,                0.63136,                0.38686,                  1.361,                0.00481,                0.84508,                0.82668,                0.87531,                0.73682,                0.64013,                0.38406,                  1.476,                0.00204,               0.002476,               0.002476,               0.002476
                     78,                0.62947,                0.38514,                  1.356,                0.00476,                0.83995,                0.83054,                0.87525,                0.73667,                0.63994,                0.38415,                 1.4757,                0.00204,               0.002377,               0.002377,               0.002377
                     79,                0.62864,                 0.3818,                 1.3589,                0.00519,                0.84053,                0.82968,                0.87514,                0.73672,                0.63992,                0.38404,                  1.476,                0.00205,               0.002278,               0.002278,               0.002278
                     80,                0.62647,                0.38005,                 1.3604,                0.00458,                0.84239,                0.82844,                 0.8753,                0.73694,                0.63984,                0.38383,                 1.4762,                0.00206,               0.002179,               0.002179,               0.002179
                     81,                 0.6272,                0.38024,                  1.359,                0.00457,                0.84178,                0.83043,                0.87565,                0.73721,                0.63979,                0.38381,                 1.4764,                0.00206,                0.00208,                0.00208,                0.00208
                     82,                0.62215,                0.37583,                 1.3575,                0.00456,                0.83781,                0.83619,                0.87603,                0.73751,                0.63975,                0.38377,                 1.4765,                0.00207,               0.001981,               0.001981,               0.001981
                     83,                0.62323,                0.37614,                 1.3503,                0.00384,                0.83667,                 0.8369,                0.87575,                0.73755,                0.63972,                 0.3838,                 1.4764,                0.00206,               0.001882,               0.001882,               0.001882
                     84,                0.61931,                0.37302,                 1.3533,                0.00456,                0.83608,                 0.8375,                0.87583,                0.73782,                0.63959,                0.38374,                 1.4764,                0.00204,               0.001783,               0.001783,               0.001783
                     85,                0.61962,                0.37115,                 1.3513,                0.00499,                0.83625,                0.83763,                 0.8756,                0.73799,                0.63955,                0.38386,                 1.4768,                0.00204,               0.001684,               0.001684,               0.001684
                     86,                0.62011,                0.37188,                 1.3507,                0.00436,                0.83888,                0.83738,                 0.8756,                0.73805,                0.63958,                0.38408,                 1.4767,                0.00205,               0.001585,               0.001585,               0.001585
                     87,                0.61635,                0.36812,                 1.3477,                0.00404,                0.83948,                 0.8377,                 0.8757,                0.73822,                 0.6396,                0.38423,                 1.4769,                0.00205,               0.001486,               0.001486,               0.001486
                     88,                 0.6156,                  0.367,                 1.3467,                 0.0043,                0.84035,                0.83692,                 0.8757,                0.73803,                0.63951,                0.38429,                  1.477,                0.00203,               0.001387,               0.001387,               0.001387
                     89,                0.61051,                0.36372,                 1.3495,                0.00442,                 0.8406,                0.83889,                 0.8756,                0.73837,                0.63943,                0.38454,                 1.4772,                0.00202,               0.001288,               0.001288,               0.001288
                     90,                0.61115,                0.36294,                  1.345,                0.00454,                0.84103,                0.83754,                 0.8754,                0.73808,                0.63947,                0.38461,                 1.4776,                0.00201,               0.001189,               0.001189,               0.001189
