                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.03074,                0.48245,                0.25819,                0.78248,                 0.7765,                 0.8029,                0.60068,                0.06064,                0.45368,                0.26688,               0.004357,               0.004357,               0.004357
                     59,                0.03118,                0.49031,                0.25827,                0.78027,                 0.7771,                0.80259,                0.60053,                0.06044,                0.45334,                0.26654,               0.004258,               0.004258,               0.004258
                     60,                 0.0304,                 0.4835,                0.25593,                0.78259,                0.77784,                0.80584,                0.60266,                0.05975,                0.45238,                0.26634,               0.004159,               0.004159,               0.004159
                     61,                0.02909,                0.47729,                0.25618,                0.78285,                 0.7781,                0.80686,                0.60407,                0.06018,                0.45168,                0.26609,                0.00406,                0.00406,                0.00406
                     62,                0.03004,                0.47542,                0.25715,                0.79247,                0.77287,                0.80636,                0.60449,                0.06096,                0.45253,                0.26509,               0.003961,               0.003961,               0.003961
                     63,                 0.0305,                0.47675,                0.25599,                0.78968,                 0.7743,                0.80706,                0.60528,                0.06054,                0.45194,                0.26478,               0.003862,               0.003862,               0.003862
                     64,                0.02903,                0.48182,                0.25589,                0.79031,                0.77461,                0.80793,                0.60611,                0.06146,                0.45144,                0.26496,               0.003763,               0.003763,               0.003763
                     65,                0.03039,                0.47317,                0.25645,                0.78474,                0.77672,                0.80821,                0.60656,                0.06117,                0.45103,                0.26498,               0.003664,               0.003664,               0.003664
                     66,                0.02996,                0.47065,                0.25364,                0.78986,                0.77518,                0.80874,                 0.6074,                0.06114,                0.45033,                0.26546,               0.003565,               0.003565,               0.003565
                     67,                0.02951,                0.46236,                0.25426,                 0.7883,                0.77781,                0.80964,                0.60813,                0.06207,                0.45026,                0.26578,               0.003466,               0.003466,               0.003466
                     68,                0.03017,                0.46594,                0.25008,                0.78697,                0.78062,                0.80961,                0.60798,                 0.0619,                0.44978,                 0.2658,               0.003367,               0.003367,               0.003367
                     69,                 0.0312,                0.46272,                0.25451,                0.78499,                0.78299,                0.80973,                0.60874,                0.06123,                0.44939,                0.26578,               0.003268,               0.003268,               0.003268
                     70,                0.02898,                0.45646,                0.25148,                0.78469,                 0.7832,                0.81049,                0.60933,                0.06148,                0.44939,                0.26555,               0.003169,               0.003169,               0.003169
                     71,                0.02993,                 0.4597,                0.25346,                0.78819,                0.78457,                 0.8112,                0.61005,                0.06227,                0.44908,                0.26544,                0.00307,                0.00307,                0.00307
                     72,                0.03005,                0.45868,                0.24749,                0.78867,                0.78201,                 0.8119,                0.61052,                0.06198,                0.44795,                0.26519,               0.002971,               0.002971,               0.002971
                     73,                0.02859,                0.45251,                0.24542,                0.78809,                0.78234,                0.81308,                0.61112,                 0.0618,                0.44861,                0.26481,               0.002872,               0.002872,               0.002872
                     74,                0.02783,                0.44986,                0.25037,                0.78654,                 0.7853,                0.81364,                0.61155,                0.06199,                 0.4475,                0.26471,               0.002773,               0.002773,               0.002773
                     75,                0.02744,                0.44618,                0.24611,                0.78445,                0.78703,                0.81454,                0.61257,                0.06212,                0.44748,                0.26473,               0.002674,               0.002674,               0.002674
                     76,                0.02801,                0.44653,                0.24646,                 0.7851,                0.78695,                0.81506,                0.61314,                0.06251,                0.44632,                0.26528,               0.002575,               0.002575,               0.002575
                     77,                0.02837,                0.45107,                0.24722,                0.78462,                0.78908,                0.81545,                0.61327,                0.06257,                0.44555,                0.26512,               0.002476,               0.002476,               0.002476
                     78,                0.02884,                0.44751,                 0.2413,                0.78566,                0.79055,                0.81586,                0.61363,                0.06269,                0.44599,                0.26485,               0.002377,               0.002377,               0.002377
                     79,                0.02728,                 0.4415,                0.24279,                0.78361,                0.79182,                0.81466,                0.61309,                0.06233,                0.44614,                0.26444,               0.002278,               0.002278,               0.002278
                     80,                0.02546,                0.44101,                0.23812,                0.78728,                0.78576,                0.81506,                  0.614,                0.06249,                0.44606,                0.26491,               0.002179,               0.002179,               0.002179
                     81,                0.02738,                0.44636,                0.23895,                0.78722,                0.78779,                0.81538,                0.61462,                0.06239,                0.44636,                0.26445,                0.00208,                0.00208,                0.00208
                     82,                0.02764,                0.43779,                0.24191,                0.78964,                0.78717,                0.81571,                0.61483,                0.06253,                0.44609,                0.26434,               0.001981,               0.001981,               0.001981
                     83,                0.02734,                 0.4325,                0.23961,                0.78931,                 0.7872,                0.81577,                0.61505,                0.06285,                0.44638,                0.26406,               0.001882,               0.001882,               0.001882
                     84,                 0.0276,                0.43991,                0.23856,                0.78691,                0.78967,                0.81577,                0.61493,                0.06252,                0.44653,                0.26389,               0.001783,               0.001783,               0.001783
                     85,                0.02722,                0.42925,                0.23957,                0.79272,                0.78695,                0.81653,                0.61573,                0.06257,                  0.446,                 0.2641,               0.001684,               0.001684,               0.001684
                     86,                0.02782,                0.42747,                0.24031,                0.79262,                0.78708,                0.81652,                0.61604,                0.06238,                0.44534,                0.26403,               0.001585,               0.001585,               0.001585
                     87,                0.02914,                0.42977,                0.23708,                0.79685,                0.78315,                0.81698,                 0.6164,                0.06238,                0.44562,                0.26396,               0.001486,               0.001486,               0.001486
                     88,                0.02697,                0.43185,                0.23244,                0.79708,                 0.7838,                 0.8178,                0.61743,                0.06277,                0.44523,                0.26363,               0.001387,               0.001387,               0.001387
                     89,                0.02612,                 0.4233,                0.23617,                0.79442,                0.78747,                0.81834,                0.61781,                0.06312,                0.44514,                0.26388,               0.001288,               0.001288,               0.001288
                     90,                 0.0258,                 0.4186,                0.23162,                0.79871,                0.78419,                0.81843,                0.61826,                0.06305,                0.44559,                  0.264,               0.001189,               0.001189,               0.001189
                     91,                0.02713,                0.41591,                0.23671,                0.80021,                0.78305,                0.81832,                0.61817,                0.06269,                0.44504,                0.26437,                0.00109,                0.00109,                0.00109
                     92,                0.02516,                 0.4107,                0.23257,                0.79969,                0.78292,                 0.8181,                0.61826,                  0.063,                0.44502,                0.26413,               0.000991,               0.000991,               0.000991
                     93,                0.02687,                0.41341,                 0.2359,                0.79746,                0.78417,                0.81845,                0.61885,                0.06293,                 0.4444,                0.26467,               0.000892,               0.000892,               0.000892
                     94,                0.02669,                0.41554,                0.22972,                0.79666,                0.78627,                0.81935,                0.61984,                0.06381,                0.44425,                0.26518,               0.000793,               0.000793,               0.000793
                     95,                 0.0259,                0.41087,                0.23044,                0.79593,                0.78686,                0.81931,                0.61947,                0.06372,                0.44418,                0.26531,               0.000694,               0.000694,               0.000694
                     96,                0.02584,                0.40882,                0.23215,                0.79681,                  0.788,                0.81979,                0.61947,                0.06409,                0.44369,                0.26533,               0.000595,               0.000595,               0.000595
                     97,                0.02497,                0.40675,                 0.2287,                0.79683,                0.78838,                0.81986,                0.61964,                 0.0637,                0.44226,                0.26617,               0.000496,               0.000496,               0.000496
                     98,                 0.0256,                0.40619,                0.23087,                0.79454,                0.79133,                0.82012,                0.62002,                0.06409,                0.44264,                0.26664,               0.000397,               0.000397,               0.000397
                     99,                0.02469,                 0.4031,                0.22662,                0.79598,                0.79285,                0.82073,                 0.6207,                0.06421,                0.44231,                0.26721,               0.000298,               0.000298,               0.000298
                    100,                0.02652,                0.40354,                0.22931,                0.79484,                0.79476,                0.82098,                0.62107,                0.06375,                0.44201,                0.26668,               0.000199,               0.000199,               0.000199
